"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"1";"";"JST_2MM_MALE";"JST-2-SMD";"J4";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"";"";"";"";"CONN-11443";"PRT-08612";"";"";
"9";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"S2, S3, S4, S5, S6, S7, S8, S9, S11";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";
"1";"";"PINHD-1X2_2.00";"1X02M";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"J2";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";"";"";"";"";"";"CONN-13694";"";"";"";
"1";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"S13";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"";"";"";"";"";"SWCH-10651";"";"COM-10860";"";
"1";"";"USB_MICRO-B_FEMALE-SMT";"USB-B-MICRO-SMD";"J3";"USB Type Micro-B Connector";"";"";"";"";"";"";"";"";"";"CONN-11752";"";"";"";
"2";"1";"0.3OHM-0805-1/8W-1%";"0805";"R32, R37";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"1";"1.1A/60V/600mΩ";"MOSFET_PCH-SI2309DS";"SOT23-3";"Q1";"P-channel MOSFETs";"";"";"";"";"";"";"";"";"";"TRANS-08285";"";"";"1.1A/60V/600mΩ";
"1";"1.65K";"0.3OHM-0805-1/8W-1%";"0805";"R27";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"1";"100";"0.22OHM-0805-1/4W-1%";"0805";"R19";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"2";"100";"0.3OHM-0805-1/8W-1%";"0805";"R41, R42";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"2";"100K";"0.22OHM-0805-1/4W-1%";"0805";"R17, R26";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"1";"100K";"0.3OHM-0805-1/8W-1%";"0805";"R43";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"7";"100nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"C1, C4, C8, C9, C10, C12, C20";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"18";"10K";"0.22OHM-0805-1/4W-1%";"0805";"R1, R3, R4, R5, R8, R9, R10, R11, R12, R13, R14, R15, R16, R18, R20, R21, R22, R23";"0.22Ω resistor";"";"";"";"";"";"";"";"";"";"RES-09883";"";"";"0.22";
"7";"10K";"0.3OHM-0805-1/8W-1%";"0805";"R30, R31, R33, R34, R35, R36, R38";"0.3Ω resistor";"";"";"";"";"";"";"";"";"";"RES-11622";"";"";"0.3";
"4";"10nF";"2.2UF-0805-25V-(+80/-20%)";"0805";"C16, C17, C23, C24";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"5";"10uF";"2.2UF-0805-25V-(+80/-20%)";"0805";"C2, C7, C14, C21, C26";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-11624";"";"";"2.2uF";
"1";"12Mhz";"CRYSTALSMD-5X3.2-4PAD";"CRYSTAL-SMD-5X3.2-4PAD";"Y1";"Crystals (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";
